"","Date","Open","High","Low","Close","Volume","Dividend","Split","Adj_Open","Adj_High","Adj_Low","Adj_Close","Adj_Volume"
"830",2015-04-14,114.2,114.98,113.11,114.05,4072474,0,1,106.484340913672,107.211642016235,105.467984244706,106.344475317025,4072474
"831",2015-04-13,114.96,115.43,114.35,114.44,2981956,0,1,107.192993270015,107.631238806175,106.624206510319,106.708125868307,2981956
"832",2015-04-10,114.47,115.65,114.42,115.24,3658058,0,1,106.736098987636,107.83637501459,106.689477122087,107.454075717089,3658058
"833",2015-04-09,115.46,116.2446,114.14,114.57,4673843,0,1,107.659211925504,108.390802239697,106.428394675013,106.829342718734,4673843
"834",2015-04-08,113.97,115.81,113.83,115.59,3753476,0,1,106.269880332147,107.985564984346,106.13933910861,107.780428775931,3753476
"835",2015-04-07,114.83,115.79,114.23,114.3,3189204,0,1,107.071776419588,107.966916238127,106.512314033001,106.57758464477,3189204
"836",2015-04-06,113.45,115.55,113.41,114.95,3249993,0,1,105.785012930439,107.743131283492,105.747715438,107.183668896905,3249993
"837",2015-04-02,112.61,114.92,112.52,114.54,4065097,0,1,105.001765589217,107.155695777576,104.917846231229,106.801369599405,4065097
"838",2015-04-01,113.88,114,112.43,113.13,4737737,0,1,106.185960974159,106.297853451477,104.833926873241,105.486632990926,4737737
"839",2015-03-31,113.7,115.37,113.55,113.61,4127794,0,1,106.018122258183,107.575292567516,105.878256661536,105.934202900195,4127794
"840",2015-03-30,114.96,116.05,114.53,114.63,3965431,0,1,107.192993270015,108.209349938981,106.792045226295,106.885288957393,3965431
"841",2015-03-27,112.08,114.23,112,113.86,3878955,0,1,104.507573814399,106.512314033001,104.432978829521,106.16731222794,3878955
"842",2015-03-26,113.36,113.43,111.58,112.37,5409493,0,1,105.701093572451,105.766364184219,104.04135515891,104.777980634583,5409493
"843",2015-03-25,115.96,116.61,113.64,113.68,4724545,0,1,108.125430580993,108.731514833129,105.962176019524,105.999473511964,4724545
